RESULTATS: ./c-pTAS.o
1:48.87,1:49.42,1:49.35,1:48.33,1:48.23,
0:40.22,0:40.53,0:41.43,0:41.16,0:40.29,
0:39.18,0:38.34,0:39.48,0:39.56,0:39.34,
0:36.43,0:36.08,0:35.57,0:36.44,0:36.42,
0:36.14,0:35.97,0:36.28,0:35.64,0:34.32,
0:35.63,0:36.35,0:36.33,0:35.86,0:35.32,
0:36.13,0:36.07,0:36.11,0:36.43,0:36.69,
0:36.54,0:34.04,0:36.67,0:36.12,0:37.07,
