RESULTATS: ./out
0m0.004s,0m0.003s,0m0.004s,0m0.006s,0m0.003s,
0m0.030s,0m0.028s,0m0.029s,0m0.028s,0m0.011s,
0m0.071s,0m0.050s,0m0.055s,0m0.048s,0m0.060s,
0m0.069s,0m0.084s,0m0.084s,0m0.065s,0m0.069s,
0m0.086s,0m0.107s,0m0.087s,0m0.085s,0m0.080s,
0m0.113s,0m0.086s,0m0.106s,0m0.085s,0m0.114s,
0m0.137s,0m0.146s,0m0.137s,0m0.130s,0m0.129s,
0m0.158s,0m0.168s,0m0.159s,0m0.149s,0m0.149s,
0m0.177s,0m0.174s,0m0.183s,0m0.168s,0m0.151s,
0m0.108s,0m0.090s,0m0.093s,0m0.075s,0m0.094s,
0m0.095s,0m0.119s,0m0.126s,0m0.182s,0m0.194s,
0m0.232s,0m0.223s,0m0.227s,0m0.241s,0m0.237s,
0m0.264s,0m0.254s,0m0.252s,0m0.257s,0m0.272s,
0m0.260s,0m0.232s,0m0.266s,0m0.264s,0m0.283s,
0m0.295s,0m0.295s,0m0.234s,0m0.145s,0m0.158s,
0m0.177s,0m0.177s,0m0.163s,0m0.149s,0m0.153s,
