RESULTATS: ./out.o
0:01.20,0:01.20,0:01.20,0:01.20,0:01.19,
0:01.25,0:01.27,0:01.23,0:01.24,0:01.28,
0:01.27,0:01.28,0:01.28,0:01.29,0:01.27,
0:01.29,0:01.29,0:01.31,0:01.26,0:01.29,
0:01.28,0:01.28,0:01.27,0:01.29,0:01.27,
0:01.28,0:01.28,0:01.27,0:01.29,0:01.28,
0:01.28,0:01.28,0:01.25,0:01.28,0:01.29,
0:01.26,0:01.29,0:01.29,0:01.29,0:01.30,
