RESULTATS: ./p-c.o
1:47.61,1:48.33,1:49.35,1:49.92,1:48.24,
0:41.39,0:40.50,0:40.67,0:40.24,0:40.60,
0:39.21,0:39.11,0:38.96,0:37.43,0:39.08,
0:37.08,0:36.89,0:36.79,0:37.04,0:37.28,
0:37.15,0:36.40,0:36.39,0:37.16,0:37.00,
0:36.51,0:36.66,0:36.28,0:36.32,0:36.97,
0:36.66,0:36.27,0:34.94,0:36.48,0:36.40,
0:33.30,0:36.64,0:36.06,0:36.29,0:36.23,
